Date,Mean Temperature,Precipitation,MXNCAD Exchange Rate,USDCAD Exchange Rate,Integrated Gas Price,Import Quantity,Avocado Price
2020-08,22.7,6.8,0.05961,1.3222,0.88083,8434269.0,1.78
2020-09,21.8,12.7,0.06111,1.3228,0.87325,7678595.0,1.79
2020-10,21.3,92.6,0.06212,1.3215,0.86898,6758550.0,1.57
2020-11,20.8,169.4,0.06403,1.3068,0.87901,7656271.0,1.61
2020-12,20.0,210.0,0.06418,1.2808,0.91648,9287201.0,1.61
2021-01,19.0,165.9,0.06388,1.2724,0.94661,8792853.0,1.54
2021-02,17.3,22.0,0.06248,1.2699,0.99968,8043213.0,1.41
2021-03,17.0,2.4,0.06057,1.2574,1.08585,10697266.0,1.57
2021-04,17.8,4.6,0.06236,1.2496,1.07711,9916471.0,1.74
2021-05,20.6,0.8,0.06071,1.2126,1.08036,9453257.0,1.7
2021-06,21.5,0.1,0.06103,1.2219,1.1096,9022715.0,1.79
2021-07,22.1,1.6,0.06274,1.2529,1.14935,9212890.0,1.78
2021-08,21.4,3.7,0.06274,1.2603,1.15848,8330837.0,1.84
2021-09,21.2,29.8,0.06328,1.2671,1.17652,7142006.0,1.87
2021-10,21.0,223.4,0.06084,1.2437,1.24105,6254179.0,1.76
2021-11,20.8,187.2,0.06016,1.257,1.2855,7500146.0,1.65
2021-12,20.7,244.1,0.0612,1.2794,1.27525,9298437.0,1.67
2022-01,18.2,196.2,0.06155,1.2616,1.29788,8320731.0,1.71
2022-02,17.5,106.5,0.06213,1.2716,1.4083,8277042.0,1.79
2022-03,17.2,2.0,0.06163,1.2658,1.74902,8665961.0,1.9
2022-04,18.1,1.1,0.06287,1.2628,1.76713,7943381.0,2.14
2022-05,19.5,3.9,0.06414,1.2852,1.95783,8445514.0,2.15
2022-06,22.0,1.7,0.06404,1.2814,2.00182,6931244.0,2.15
2022-07,23.5,0.8,0.06298,1.2942,1.91081,7990404.0,1.99
2022-08,22.2,7.6,0.06424,1.2922,1.75112,5719993.0,1.94
2022-09,21.5,12.7,0.06635,1.3319,1.79476,6196608.0,1.59
2022-10,21.2,157.8,0.06854,1.37,1.94219,6383921.0,1.69
2022-11,20.9,203.4,0.06914,1.3449,1.95047,7318996.0,1.6
2022-12,20.4,186.9,0.06927,1.3592,1.77697,7880818.0,1.59
2023-01,19.8,139.5,0.07081,1.3422,1.69724,8127552.0,1.48
2023-02,17.2,64.5,0.0722,1.345,1.62859,9107195.0,1.35
2023-03,17.0,8.4,0.07437,1.3682,1.56957,9385266.0,1.47
2023-04,18.6,2.2,0.07455,1.3485,1.50662,8009837.0,1.74
2023-05,20.5,0.4,0.07623,1.352,1.43624,9721765.0,1.61
2023-06,21.6,0.2,0.07708,1.3288,1.38157,9188375.0,1.61
2023-07,23.6,5.3,0.0782,1.3215,1.41145,9600053.0,1.67
2023-08,24.9,2.9,0.07945,1.3485,1.61361,9018337.0,1.78
2023-09,22.6,20.7,0.0782,1.3535,1.6918,7578219.0,1.73
2023-10,22.0,44.4,0.07582,1.3717,1.69068,7058267.0,1.88
2023-11,21.7,169.8,0.07895,1.3709,1.61505,8242230.0,1.67
2023-12,20.6,165.7,0.07807,1.3431,1.48797,8568906.0,1.63
2024-01,19.6,88.8,0.07857,1.3425,1.44326,9557034.0,1.53
2024-02,17.0,147.2,0.07897,1.3501,1.51433,8635425.0,1.46
2024-03,17.1,32.9,0.08066,1.3539,1.50687,9540654.0,1.66
2024-04,18.5,26.8,0.0814,1.3674,1.51596,9580227.0,1.61
2024-05,20.1,0.5,0.08131,1.367,1.45046,9674998.0,1.7
2024-06,22.3,19.4,0.07524,1.3707,1.42221,9357584.0,1.73
2024-07,24.9,0.0,0.07578,1.3712,1.45423,8602551.0,1.92
2024-08,24.0,1.3,0.07135,1.3652,1.40915,8189314.0,1.85
2024-09,21.7,8.1,0.06914,1.3546,1.34827,5987954.0,1.65
2024-10,21.6,111.0,0.06975,1.3755,1.37888,6702367.0,1.73
2024-11,21.6,275.1,0.06874,1.3975,1.38302,9198952.0,1.55
2024-12,19.8,234.2,0.07027,1.424,1.39307,9320804.0,1.62
2025-01,19.4,285.7,0.07003,1.439,1.46545,8369909.0,1.68
2025-02,17.6,38.7,0.06984,1.4301,1.47436,9372492.0,1.57
2025-03,17.2,8.6,0.07097,1.4359,1.44113,9094502.0,1.77
2025-04,19.0,4.6,0.06982,1.3988,1.35565,8162032.0,1.78
2025-05,20.3,17.5,0.07128,1.386,1.31792,8303320.0,1.86
2025-06,21.3,4.4,0.07185,1.3674,1.33764,8901262.0,1.76
2025-07,23.5,0.3,0.07324,1.3691,1.40351,8948663.0,1.55
2025-08,21.7,0.6,0.0738,1.3802,1.39668,7223827.0,1.56
2025-09,20.9,49.0,0.07481,1.3833,1.40193,7403208.0,1.62
2025-10,21.0,243.9,0.07593,1.3992,1.39947,7071554.0,1.43
